Id,Word
1,intro
2,verse
3,sheeran
4,tion
5,wayne
6,every
7,time
8,come
9,"around,"
10,know
11,can't
12,every
13,time
14,goes
15,"down,"
16,take
17,control
18,feel
19,paradise
20,before
21,world
22,implodes
23,tonight
24,something
25,wonderful(
26,"grr,"
27,"mm-mm,"
28,yeah)
29,verse
30,tion
31,wayne
32,sheeran
33,feds
34,havin'
35,nightmares
36,when
37,gyal
38,left
39,"side,"
40,gyal
41,right
42,mm-mm)
43,figure
44,transfer
45,when
46,ride
47,"baow,"
48,"baow,"
49,baow)
50,that's
51,opps
52,them
53,just
54,wanna
55,take
56,life
57,before
58,"music,"
59,shift
60,damn)
61,made
62,lambo
63,money
64,from
65,citröen
66,boom)
67,tapped
68,"then,"
69,rolling
70,with
71,kitchen
72,that's
73,they
74,want
75,just
76,lock
77,system
78,habits
79,"life,"
80,veins
81,vеins)
82,habits
83,nine
84,with
85,babe
86,boom)
87,"habits,"
88,can't
89,with
90,case
91,"man,"
92,them
93,vibes
94,just
95,haffi
96,away'
97,cause
98,"broke,"
99,getting
100,weren't
101,easy
102,easy)
103,with
104,sheeran
105,"now,"
106,it's
107,cheeky
108,mad)
109,feds
110,can't
111,believe
112,they're
113,havin'
114,flashbacks
115,tough
116,luck
117,"ooh),"
118,brucked
119,ooh)
120,drop-top
121,"ooh),"
122,getting
123,top-top
124,boom)
125,young
126,"buck,"
127,catch
128,opp-opp
129,double-
130,"ting,"
131,bidda-bop-bop
132,boom)
133,fuck
134,what
135,you're
136,tellin'
137,"buh),"
138,from
139,edmonton
140,buh)
141,vibes
142,everyting
143,****
144,rolex
145,might
146,bust
147,skeleton
148,"buh,"
149,"buh,"
150,buh)(
151,habits
152,lead
153,you)
154,verse
155,central
156,don't
157,wanna
158,them
159,somethin'
160,can't
161,come
162,back
163,from
164,"frontways,"
165,"sideways,"
166,"cowgirl,"
167,backshots
168,"miyagi,"
169,"off,"
170,don't
171,even
172,"smoke,"
173,want
174,backstrap
175,messed
176,with
177,good
178,girl
179,hotel
180,room
181,with
182,strapped
183,don't
184,wanna
185,give
186,grandson
187,these
188,ladies
189,moving
190,"crazy,"
191,wanna
192,have
193,babies
194,lately
195,i've
196,been
197,keepin'
198,head
199,down
200,ain't
201,been
202,"wildin',"
203,takin'
204,time
205,cards
206,laid
207,"out,"
208,nothin'
209,hide
210,'bout
211,"ayy,"
212,maybe
213,slipped
214,once
215,night
216,find
217,'bout
218,"that,"
219,wild
220,feel
221,better
222,when
223,make
224,after
225,break
226,body
227,language
228,don't
229,wanna
230,much
231,could
232,back
233,fuck
234,back
235,bentley
236,bentayga
237,come
238,home
239,"late,"
240,"wake,"
241,stayin'
242,body
243,"intact,"
244,personal
245,trainer
246,breakfast
247,"bed,"
248,don't
249,cook
250,bacon
251,just
252,want
253,head
254,when
255,wake
