Id,Word
1,verse
2,remember
3,moment
4,left
5,alone
6,broke
7,every
8,promise
9,ever
10,made
11,"ocean,"
12,lost
13,open
14,nothin'
15,could
16,take
17,pain
18,away
19,chorus
20,throw
21,wolves
22,tomorrow
23,will
24,come
25,"back,"
26,leader
27,whole
28,pack
29,beat
30,black
31,blue
32,every
33,wound
34,will
35,shape
36,every
37,scar
38,will
39,build
40,throne
41,verse
42,sticks
43,stones
44,that
45,used
46,throw
47,have
48,built
49,"empire,"
50,don't
51,even
52,"river,"
53,'cause
54,forgive
55,reason
56,still
57,fight
58,chorus
59,throw
60,wolves
61,tomorrow
62,will
63,come
64,"back,"
65,leader
66,whole
67,pack
68,beat
69,black
70,blue
71,every
72,wound
73,will
74,shape
75,every
76,scar
77,will
78,build
79,throne
80,throw
81,wolves
82,tomorrow
83,will
84,come
85,"back,"
86,leader
87,whole
88,pack
89,beat
90,black
91,blue
92,every
93,wound
94,will
95,shape
96,every
97,scar
98,will
99,build
100,throne
101,bridge
102,i'll
103,leave
104,choking
105,every
106,word
107,left
108,unspoken
109,rebuild
110,that
111,you've
112,broken
113,know
114,know)
115,i'll
116,leave
117,choking
118,every
119,word
120,left
121,unspoken
122,rebuild
123,that
124,you've
125,broken
126,know
127,chorus
128,every
129,wound
130,will
131,shape
132,every
133,scar
134,will
135,build
136,throne
137,throw
138,wolves
139,tomorrow
140,will
141,come
142,"back,"
143,leader
144,whole
145,pack
146,beat
147,black
148,blue
149,every
150,wound
151,will
152,shape
153,every
154,scar
155,will
156,build
Id,Word
1,verse
2,remember
3,moment
4,left
5,alone
6,broke
7,every
8,promise
9,ever
10,made
11,"ocean,"
12,lost
13,open
14,nothin'
15,could
16,take
17,pain
18,away
19,chorus
20,throw
21,wolves
22,tomorrow
23,will
24,come
25,"back,"
26,leader
27,whole
28,pack
29,beat
30,black
31,blue
32,every
33,wound
34,will
35,shape
36,every
37,scar
38,will
39,build
40,throne
41,verse
42,sticks
43,stones
44,that
45,used
46,throw
47,have
48,built
49,"empire,"
50,don't
51,even
52,"river,"
53,'cause
54,forgive
55,reason
56,still
57,fight
58,chorus
59,throw
60,wolves
61,tomorrow
62,will
63,come
64,"back,"
65,leader
66,whole
67,pack
68,beat
69,black
70,blue
71,every
72,wound
73,will
74,shape
75,every
76,scar
77,will
78,build
79,throne
80,throw
81,wolves
82,tomorrow
83,will
84,come
85,"back,"
86,leader
87,whole
88,pack
89,beat
90,black
91,blue
92,every
93,wound
94,will
95,shape
96,every
97,scar
98,will
99,build
100,throne
101,bridge
102,i'll
103,leave
104,choking
105,every
106,word
107,left
108,unspoken
109,rebuild
110,that
111,you've
112,broken
113,know
114,know)
115,i'll
116,leave
117,choking
118,every
119,word
120,left
121,unspoken
122,rebuild
123,that
124,you've
125,broken
126,know
127,chorus
128,every
129,wound
130,will
131,shape
132,every
133,scar
134,will
135,build
136,throne
137,throw
138,wolves
139,tomorrow
140,will
141,come
142,"back,"
143,leader
144,whole
145,pack
146,beat
147,black
148,blue
149,every
150,wound
151,will
152,shape
153,every
154,scar
155,will
156,build
Id,Word
1,текст
2,песни
3,куплет
4,радости
5,границ
6,солнце
7,"смеется,"
8,гурьбой
9,рыбы
10,много
11,птиц
12,песней
13,летают
14,мной
15,вместе
16,чудесном
17,саду
18,бридж
19,a играет в
20,лапту
21,"тобой, со"
22,мной
23,"тобой,"
24,мной
25,аутро
Id,Word
1,verse
2,remember
3,moment
4,left
5,alone
6,broke
7,every
8,promise
9,ever
10,made
11,"ocean,"
12,lost
13,open
14,nothin'
15,could
16,take
17,pain
18,away
19,chorus
20,throw
21,wolves
22,tomorrow
23,will
24,come
25,"back,"
26,leader
27,whole
28,pack
29,beat
30,black
31,blue
32,every
33,wound
34,will
35,shape
36,every
37,scar
38,will
39,build
40,throne
41,verse
42,sticks
43,stones
44,that
45,used
46,throw
47,have
48,built
49,"empire,"
50,don't
51,even
52,"river,"
53,'cause
54,forgive
55,reason
56,still
57,fight
58,chorus
59,throw
60,wolves
61,tomorrow
62,will
63,come
64,"back,"
65,leader
66,whole
67,pack
68,beat
69,black
70,blue
71,every
72,wound
73,will
74,shape
75,every
76,scar
77,will
78,build
79,throne
80,throw
81,wolves
82,tomorrow
83,will
84,come
85,"back,"
86,leader
87,whole
88,pack
89,beat
90,black
91,blue
92,every
93,wound
94,will
95,shape
96,every
97,scar
98,will
99,build
100,throne
101,bridge
102,i'll
103,leave
104,choking
105,every
106,word
107,left
108,unspoken
109,rebuild
110,that
111,you've
112,broken
113,know
114,know)
115,i'll
116,leave
117,choking
118,every
119,word
120,left
121,unspoken
122,rebuild
123,that
124,you've
125,broken
126,know
127,chorus
128,every
129,wound
130,will
131,shape
132,every
133,scar
134,will
135,build
136,throne
137,throw
138,wolves
139,tomorrow
140,will
141,come
142,"back,"
143,leader
144,whole
145,pack
146,beat
147,black
148,blue
149,every
150,wound
151,will
152,shape
153,every
154,scar
155,will
156,build
